                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     73,                 1.0336,                 1.2051,                0.97424,                  1.133,                 0.9688,                  0.968,                0.98178,                0.55866,                0.96516,                  0.964,                0.98098,                0.56178,                 1.4582,                 2.4866,                0.83107,                 1.6354,              0.0005744,              0.0005744,              0.0005744
                     74,                 1.0109,                 1.1708,                0.96818,                  1.118,                0.97681,                 0.9687,                0.98208,                0.59852,                0.97127,                0.94652,                0.97702,                0.57824,                 1.3414,                 2.4882,                0.82934,                 1.5161,              0.0005546,              0.0005546,              0.0005546
                     75,                 1.0148,                 1.1784,                0.96127,                 1.1275,                0.98673,                0.96699,                0.98223,                 0.5906,                0.98271,                0.96625,                0.98381,                0.60958,                  1.408,                 2.3935,                0.75089,                 1.5814,              0.0005348,              0.0005348,              0.0005348
                     76,                 1.0158,                 1.1807,                0.94621,                 1.1261,                0.97675,                0.96634,                0.97428,                0.54961,                0.96563,                0.95534,                0.96316,                0.57958,                 1.4554,                   2.44,                0.81318,                 1.6177,               0.000515,               0.000515,               0.000515
                     77,                 1.0278,                 1.1922,                0.97114,                 1.1345,                0.97709,                  0.973,                 0.9831,                0.61575,                0.97307,                  0.969,                0.98187,                0.61227,                  1.298,                 2.5794,                0.75663,                 1.4751,              0.0004952,              0.0004952,              0.0004952
                     78,                0.99176,                 1.1656,                0.92896,                 1.1226,                0.98784,                0.97446,                0.98436,                0.58479,                0.98554,                  0.974,                0.98557,                0.62619,                 1.4649,                 2.3864,                0.67419,                 1.6356,              0.0004754,              0.0004754,              0.0004754
                     79,                 1.0127,                 1.1431,                0.94946,                 1.1281,                0.98356,                  0.979,                0.98552,                  0.578,                0.98117,                  0.977,                0.98562,                0.63186,                 1.4517,                 2.4065,                0.70103,                 1.6221,              0.0004556,              0.0004556,              0.0004556
                     80,                0.98243,                 1.1443,                0.95074,                 1.1259,                0.97093,                0.96875,                0.98349,                0.58589,                0.96571,                 0.9575,                0.98288,                0.60809,                 1.4155,                 2.5763,                  0.755,                 1.6046,              0.0004358,              0.0004358,              0.0004358
                     81,                0.98983,                 1.1361,                0.93155,                 1.1087,                0.94863,                  0.952,                 0.9747,                0.58515,                0.94771,                  0.944,                0.97534,                0.59515,                 1.3441,                 2.3693,                0.84796,                 1.5433,               0.000416,               0.000416,               0.000416
                     82,                0.97823,                 1.1372,                0.90625,                 1.1149,                0.98584,                 0.9744,                0.98479,                0.61248,                0.98786,                 0.9764,                0.98931,                0.61022,                 1.3369,                 2.4809,                 0.6639,                 1.5372,              0.0003962,              0.0003962,              0.0003962
